dsire_id,dsire_name,dsire_match_reason,source_url,llm_confidence,llm_open_questions,scenario,description,state(s),building type(s),building vintage(s),end use(s),tech(s),fuel type(s),base fuel,base fuel backup,modification,scope,ira,increase pct,performance level,performance units,credit pct,rebate amount,rebate units,start year,end year,applicable fraction,fraction notes
154,Renewable Energy Systems Exemption,updated,https://mtrevenue.gov/publications/application-for-tax-incentive-assessment-of-energy-generating-property-form-ab-14/,low,"This program is a property tax exemption (100% exempt for 10 years on up to $20,000 assessed value for SF residential and $100,000 for MF/commercial at a 2.47% tax rate) rather than a direct rebate or equipment tax credit percentage. Analyst needs to determine how to represent property tax savings in terms of rebate_amount or credit_pct. Program start/end years are also unspecified.",reference,Montana Department of Revenue Renewable Energy Systems Exemption: https://mtrevenue.gov/publications/application-for-tax-incentive-assessment-of-energy-generating-property-form-ab-14/,MT,all,all,heating,GSHP,electricity,all,,replace,non-federal,,,,,,,,,,,
183,Active Solar Heating and Cooling Systems Exemption,updated,,low,"This property tax incentive caps assessment at the value of conventional equipment rather than providing a direct rebate or income tax credit percentage. No numeric rebate/credit values, performance criteria, start/end years, or source URL were provided in the record. Active solar heating/cooling does not directly correspond to standard Scout equipment categories.",reference,Active Solar Heating and Cooling Systems Exemption (North Carolina Solar Center),NC,all,all,heating,all,solar,all,,replace,non-federal,,,,,,,,,,,
2124,Carteret-Craven Electric Cooperative - Residential Energy Efficiency Rebate Program,updated,https://www.ccemc.com/rebates,medium,"Start and end years are not specified in the input text. Numeric performance threshold (e.g. UEF) is not specified, only that the unit must be ENERGY STAR qualified and under 55 gallons.",reference,Carteret-Craven Electric Cooperative - Residential Energy Efficiency Rebate Program: https://www.ccemc.com/rebates,NC,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,300,$/unit,,,,
3721,Dominion Energy (Gas) - Energy-Efficient Appliance Rebate Program,updated,https://www.enbridgegas.com/north-carolina/save-energy/~/link.aspx?_id=DFE0B37C4EFF4826B63C82D64EFE6B35&_z=z,low,"Gas furnace rebates range from $200 to $400, but specific efficiency tiers/AFUE performance thresholds are missing in the input text. Program start and end years are not specified. Additional rows should be drafted if coverage for water heaters, boilers, or foodservice equipment is needed.",reference,Dominion Energy (Gas) - Energy-Efficient Appliance Rebate Program: https://www.enbridgegas.com/north-carolina/save-energy/~/link.aspx?_id=DFE0B37C4EFF4826B63C82D64EFE6B35&_z=z,NC,all commercial,all,heating,furnace (NG),natural gas,natural gas,,replace,non-federal,,,,,,,$/unit,,,,
3465,Duke Energy Carolinas - Residential Energy Efficiency Rebate Program,updated,https://www.duke-energy.com/home/products/smart-saver,medium,"Start and end years, performance efficiency criteria (UEF/COP threshold), and applicable fraction are not stated in the input text. Drafted specifically for Heat Pump Water Heater ($500); separate rows are needed for other technologies mentioned in the summary (ASHP, CAC, GSHP, insulation, duct sealing).",reference,Duke Energy Carolinas - Residential Energy Efficiency Rebate Program: https://www.duke-energy.com/home/products/smart-saver,NC,all residential,all,water heating,electric WH,electricity,,,replace,non-federal,,,,,,500,$/unit,,,,
3319,Four-County EMC - Residential Energy Efficiency Loan Program,updated,https://www.fourcty.org/energy-efficiency/energy-efficiency-loans/,low,"This entry describes a low-interest loan program (up to $35,000 financing) rather than a direct rebate or tax credit. No specific rebate amount, credit percentage, performance standards, or start/end years are specified. Multi-tech mapping (ASHP, water heaters, insulation, windows, doors) may require separate rows if added to incentives.csv.",reference,Four-County EMC - Residential Energy Efficiency Loan Program: https://www.fourcty.org/energy-efficiency/energy-efficiency-loans/,NC,all residential,existing,heating,ASHP,electricity,,,replace,non-federal,,,,,,,,,,,
2122,Lumbee River EMC - Residential Energy Efficiency Loan Program,updated,https://www.lumbeeriver.com/energy-efficient-loans,low,"This program offers financing (low-interest loan up to $35,000) rather than a direct rebate or tax credit. Specific interest rate reductions, rebate equivalents, performance thresholds, and program start/end years are not specified in the input text. Reviewer should determine how loan programs are represented in Scout or if direct cash rebate values exist.",reference,Lumbee River EMC - Residential Energy Efficiency Loan Program: https://www.lumbeeriver.com/energy-efficient-loans,NC,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,,,,,,
3467,Lumbee River EMC - Residential Energy Efficiency Program,updated,https://www.lumbeeriver.com/rebate-programs/,medium,"Specific efficiency thresholds (SEER2/HSPF2) are detailed in external PDF forms and not provided in the text summary. Separate rows should be drafted for Central AC ($15), GSHP ($250), air sealing ($25), duct sealing ($50), and insulation ($100).",reference,Lumbee River EMC Residential Energy Efficiency Program: https://www.lumbeeriver.com/rebate-programs/,NC,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,60,$/unit,,,,
22748,North Carolina - Home Electrification and Appliance Rebate (HEAR) Program,updated,https://energysavernc.org/,medium,"This DSIRE record covers multiple IRA HEAR incentives ($8,000 for heat pumps, $1,750 for HPWH, $1,600 for insulation/air sealing, $840 for heat pump dryers, $840 for electric/induction stoves). This row covers heat pumps (ASHP); additional rows should be created for the other equipment types. Specific numeric performance thresholds beyond 'ENERGY STAR certified' are not provided.",reference,North Carolina HEAR Program (North Carolina Department of Environmental Quality): https://energysavernc.org/,NC,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,yes,,,,,8000,$/unit,2025,,,"Program is restricted by income (<80% AMI eligible for 100% of costs up to cap, 80-150% AMI eligible for 50% of costs up to cap)."
3036,Property Tax Abatement for Solar Electric Systems,updated,,low,"Solar PV is an on-site generation technology and does not map directly to Scout's standard end-use equipment categories (e.g., HVAC, water heating, envelope). Furthermore, property tax exemptions (80% for commercial, 100% for residential) apply to appraised value rather than equipment purchase cost, making them difficult to convert into standard $/unit rebates or percentage tax credits without financial modeling assumptions. Source URL was missing from input record.",reference,Property Tax Abatement for Solar Electric Systems: N.C. Department of Revenue,NC,all,all,all,PV,electricity,,,,non-federal,,,,,,,,2008,,,
3861,South River EMC - Residential Energy Efficiency Rebate Program,updated,https://www.sremc.com/rebates-efficiency-tips,medium,"Start/end year not specified in program record. Specific performance level requirements (e.g., UEF threshold) for heat pump water heaters are missing.",reference,South River EMC - Residential Energy Efficiency Rebate Program: https://www.sremc.com/rebates-efficiency-tips,NC,all residential,all,water heating,electric WH,electricity,,,replace,non-federal,,,,,,150,$/unit,,,,
3139,Otter Tail Power Company - Energy Efficiency Rebate Program,updated,https://www.otpco.com/ways-to-save/programs/,low,"DSIRE summary lists heat pump rebates as ranges per ton ($300-$500/ton standard, $800-$1040/ton ducted cold-climate) rather than flat per-unit values. Equipment efficiency thresholds (COP/HSPF/SEER) and program start/end dates are not provided. Separate candidate rows should be created for insulation, air sealing, water heating, and windows.",reference,Otter Tail Power Company Energy Efficiency Rebate Program: https://www.otpco.com/ways-to-save/programs/,ND,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,,$/ton,,,,
160,Renewable Energy Property Tax Exemption,expired+updated,https://www.tax.nd.gov/tax-exemptions-credits/property-tax-exemptions,low,"Property tax exemption (100% exemption for 5 years) does not provide a direct equipment rebate amount or purchase credit percentage. Clarify how property tax exemptions should be converted into Scout equipment cost offsets. Mapped to GSHP as a representative building technology, but program also covers solar and wind.",reference,Renewable Energy Property Tax Exemption: https://www.tax.nd.gov/tax-exemptions-credits/property-tax-exemptions,ND,all,all,heating,GSHP,electricity,all,,,non-federal,,,,,,,,,2025,,
4989,Sales Tax Exemption for Hydrogen Generation Facilities,updated,,low,"This program provides a sales tax exemption for hydrogen generation equipment and fuel, which does not map cleanly to standard Scout building envelope/HVAC equipment categories. Source URL, start/end years, and specific building sector eligibility are missing.",reference,Sales Tax Exemption for Hydrogen Generation Facilities (Office of State Tax Commissioner),ND,commercial,all,all,all,other,,,,non-federal,,,,,,,,,,,
4988,Sales and Use Tax Exemption for Electrical Generating Facilities,updated,https://www.tax.nd.gov/tax-exemptions-credits/sales-tax-exemptions,low,"This program applies to commercial/industrial electrical generation facilities >= 100 kW and grants a 100% sales tax exemption. It is unclear if utility/large-scale generation falls within Scout's building energy model scope, and no specific Scout equipment technology (e.g., HVAC, WH, envelope) is targeted.",reference,ND Sales and Use Tax Exemption for Electrical Generating Facilities: https://www.tax.nd.gov/tax-exemptions-credits/sales-tax-exemptions,ND,commercial,all,all,all,electricity,,,,non-federal,,,100,kW,,,,,,,
4990,Sales and Use Tax Exemption for Gas Processing Facilities,updated,https://www.tax.nd.gov/tax-exemptions-credits/sales-tax-exemptions,low,"This program applies to industrial gas processing, gathering, and compressing facilities, which fall outside Scout's scope of residential and commercial building energy efficiency and decarbonization. No compatible Scout technologies, performance thresholds, dollar rebate amounts, or program start/end years are specified.",reference,Sales and Use Tax Exemption for Gas Processing Facilities (ND Office of State Tax Commissioner): https://www.tax.nd.gov/tax-exemptions-credits/sales-tax-exemptions,ND,,,,,natural gas,,,,non-federal,,,,,,,,,,,
60,Local Option - Property Tax Exemption for Renewable Energy and Electrical Energy Storage,updated,https://www.gencourt.state.nh.us/rsa/html/V/72/72-61.htm,low,"This program is a local-option property tax exemption with varying rules and tax impact by municipality, not a fixed rebate or tax credit percentage. No numeric dollar values, performance thresholds, or start/end dates are specified in the input.",reference,Local Option - Property Tax Exemption for Renewable Energy and Electrical Energy Storage: https://www.gencourt.state.nh.us/rsa/html/V/72/72-61.htm,NH,all,all,heating,all,all,,,,non-federal,,,,,,,,,,,
22795,New Jersey Manufacturing Program,expired+updated,https://www.njeda.gov/nextnjmfg/,low,"Program is a corporate tax credit for clean energy component manufacturing facilities and site solar installations based on capital investment and job creation (lesser of 0.1% * investment * jobs, 25% investment, or $150M). It does not map directly to standard Scout building end uses/equipment measures or provide per-unit rebate amounts and specific start/end years.",reference,"New Jersey Manufacturing Program, New Jersey Economic Development Authority: https://www.njeda.gov/nextnjmfg/",NJ,all commercial,all,all,all,all,,,,non-federal,,,,,25,,,,,,
22423,2021 Sustainable Building Tax Credit (Corporate),expired+updated,https://www.emnrd.nm.gov/ecmd/tax-incentives/sustainable-building-tax-credit-sbtc/,low,"Whole-building program with complex tiering (LEED Gold+, Build Green Gold+, $2.25/sq ft for commercial renovations >20,000 sq ft up to $150k). Specific equipment-level rebate amounts and performance thresholds are not provided in the summary.",reference,"2021 Sustainable Building Tax Credit (Corporate), New Mexico Taxation & Revenue Department: https://www.emnrd.nm.gov/ecmd/tax-incentives/sustainable-building-tax-credit-sbtc/",NM,all,all,all,all,all,all,,replace,non-federal,,,,,,,,2021,,,
22424,2021 Sustainable Building Tax Credit (Personal),expired+updated,https://www.emnrd.nm.gov/ecmd/tax-incentives/sustainable-building-tax-credit-sbtc/,low,"Broad whole-building green building tax credit with variable rates based on sqft, certification level (LEED, Build Green, Energy Star), and equipment/all-electric add-ons. Specific $/unit or $/sqft values for individual equipment categories are not uniquely defined without looking up full rate tables from the state website. Annual aggregate state cap applies.",reference,2021 Sustainable Building Tax Credit (Personal): https://www.emnrd.nm.gov/ecmd/tax-incentives/sustainable-building-tax-credit-sbtc/,NM,all,all,all,all,all,,,replace,non-federal,,,,,,,,2021,,,
4495,Agricultural Biomass Income Tax Credit (Corporate),expired+updated,https://www.emnrd.nm.gov/ecmd/tax-incentives/agricultural-biomass-income-tax-credit/#gsc.tab=0,low,This program provides a tax credit of $5 per wet ton for agricultural biomass (manure) transported to facilities generating electricity or bio-fuels. It does not target building equipment or envelope upgrades modeled in Scout; reviewer should confirm if supply-side biomass incentives should be excluded.,reference,Agricultural Biomass Income Tax Credit (Corporate): https://www.emnrd.nm.gov/ecmd/tax-incentives/agricultural-biomass-income-tax-credit/#gsc.tab=0,NM,all commercial,all,all,other,biomass,,,,non-federal,,,,,,5,$/wet ton,2011,2030,,
4496,Agricultural Biomass Income Tax Credit (Personal),expired+updated,https://www.emnrd.nm.gov/ecmd/tax-incentives/agricultural-biomass-income-tax-credit/#gsc.tab=0,low,This program provides a $5/wet ton tax credit for agricultural biomass (wet manure) transported to biofuel or electricity production facilities. It does not target residential or commercial building equipment or envelope upgrades modeled in Scout. Recommend excluding this record from sub_fed/incentives.csv.,reference,Agricultural Biomass Income Tax Credit (Personal): https://www.emnrd.nm.gov/ecmd/tax-incentives/agricultural-biomass-income-tax-credit/#gsc.tab=0,NM,,,,,biomass,,,,non-federal,,,,,,5,$/wet ton,2011,2029,,
359,Biomass Equipment & Materials Compensating Tax Deduction,updated,,low,This program applies to commercial/industrial processing of biopower/biofuels/biobased products rather than standard residential/commercial building end uses or HVAC equipment. Need to check whether industrial/commercial biomass equipment falls within Scout's scope and how to represent the compensating/use tax exemption (5.125% rate) in credit_pct or rebate fields. Source URL is missing in the input.,reference,Biomass Equipment & Materials Compensating Tax Deduction: New Mexico Taxation & Revenue Department,NM,commercial,all,heating,all,biomass,,,,non-federal,,,,,,,,2005,,,
3233,Renewable Energy Sales and Use Tax Abatement,expired+updated,https://www.energy.nv.gov/programs/renewable-energy-tax-abatement-reta-program/,low,"Program provides a sales tax reduction (lowering sales and use tax rate to 2.6%) for large-scale commercial/industrial renewable generation or energy storage systems with a capacity of at least 10 MW (or 25,840,000 BTU/hr solar process heat). Scout's controlled vocabulary does not directly include large generation/storage equipment; 'all' was selected for tech and end use. Rebate amount and credit percentage relative to equipment cost are not provided.",reference,Nevada State Office of Energy Renewable Energy Sales and Use Tax Abatement: https://www.energy.nv.gov/programs/renewable-energy-tax-abatement-reta-program/,NV,commercial,all,all,all,electricity,,,,non-federal,,,10,MW,,,,2009,,,
158,Renewable Energy Systems Property Tax Exemption,updated,,low,"Property tax exemption (100% exempt from property tax) does not map directly to equipment capital cost rebates/tax credits. Specific start year, end year, performance standards, and cost conversion metrics are not provided in the source text.",reference,Nevada Renewable Energy Systems Property Tax Exemption; NV Department of Taxation,NV,all commercial,all,heating,GSHP,electricity,,,replace,non-federal,,,,,,,,,,,
1596,Energy Conservation Improvements Property Tax Exemption,updated,http://www.tax.ny.gov/research/property/assess/manuals/vol4/pt1/sec4_01/sec487_a.htm,low,"This program is a property tax exemption (100% exemption on increased home value for 15 years) rather than a direct purchase rebate or income tax credit. There are no direct equipment dollar rebate amounts, credit percentages based on equipment cost, or explicit performance criteria provided in the input. Reviewer should determine if/how property tax exemptions can be represented in Scout.",reference,Energy Conservation Improvements Property Tax Exemption (New York State Office of Real Property Tax Services): http://www.tax.ny.gov/research/property/assess/manuals/vol4/pt1/sec4_01/sec487_a.htm,NY,all residential,all,all,all,all,all,,,non-federal,,,,,,,,,,,
22072,Energy Conservation Improvements Property Tax Exemption,expired+updated,https://www.tax.ny.gov/research/property/assess/manuals/vol4/pt1/sec4_01/sec487.htm,low,"This program is a 15-year property tax exemption on added property value rather than a direct rebate or equipment credit. The eligible technologies (energy storage, micro-hydro, fuel cells, micro-CHP, solar, wind) do not match standard Scout equipment/envelope technology categories, and no direct dollar or percentage incentive value is provided.",reference,Energy Conservation Improvements Property Tax Exemption: https://www.tax.ny.gov/research/property/assess/manuals/vol4/pt1/sec4_01/sec487.htm,NY,all,all,all,all,all,all,,replace,non-federal,,,,,,,,2018,2024,,
5249,Local Option - Real Property Tax Exemption for Green Buildings,updated,https://www.tax.ny.gov/research/property/assess/manuals/vol4/pt2/sec4_06/sec470.htm,low,"This is an optional local property tax exemption on the added real property value for whole green buildings meeting LEED/Green Globes standards, scaling down over 10 years. Equipment-specific rebate amounts or credit percentages are not provided, and local adoption varies, making direct equipment-level modeling in Scout uncertain without further financial/building valuation assumptions.",reference,Local Option - Real Property Tax Exemption for Green Buildings: https://www.tax.ny.gov/research/property/assess/manuals/vol4/pt2/sec4_06/sec470.htm,NY,all,all,all,all,all,all,,replace,non-federal,,,"LEED, Green Globes, or ANSI certification",,,,,2013,,,
192,"Local Option - Solar, Wind & Biomass Energy Systems Exemption",expired+updated,http://www.tax.ny.gov/research/property/assess/manuals/vol4/pt1/sec4_01/sec487.htm,low,"This program is a property tax exemption equal to the increase in assessed value from solar, wind, biomass, micro-hydro, fuel cells, micro-CHP, or energy storage, rather than a direct rebate or percentage tax credit for energy efficiency equipment. Technologies covered do not map directly to standard Scout equipment categories (e.g., ASHP, HPWH), and specific financial incentive amounts depend on local property tax rates and assessed values. Additionally, local jurisdictions may opt out.",reference,"Local Option - Solar, Wind & Biomass Energy Systems Exemption: http://www.tax.ny.gov/research/property/assess/manuals/vol4/pt1/sec4_01/sec487.htm",NY,all,all,all,all,all,,,,non-federal,,,,,,,,1991,2025,,
22390,National Grid - Electric Vehicle Charging Station Make-Ready Program,expired+updated,https://www.nationalgridus.com/Upstate-NY-Business/Energy-Saving-Programs/Electric-Vehicle-Charging-Station-Program#dcfc,low,"EV charging make-ready infrastructure does not map directly to standard Scout building HVAC, water heating, or envelope technologies. The incentive percentage varies (50%, 90%, or 100%) depending on DAC location, public access, and plug type standardization. Program start and end years are not specified in the DSIRE record.",reference,National Grid - Electric Vehicle Charging Station Make-Ready Program: https://www.nationalgridus.com/Upstate-NY-Business/Energy-Saving-Programs/Electric-Vehicle-Charging-Station-Program#dcfc,NY,"commercial, residential",all,all,all,electricity,,,,non-federal,,,,,,,,,,,
3037,New York City - Property Tax Abatement for Photovoltaic (PV) and Energy Storage Equipment,expired+updated,https://www1.nyc.gov/nycbusiness/description/solar-electric-generating-systems-tax-abatement-program,medium,"Solar PV and battery storage do not map to Scout's core HVAC and envelope tech categories; tech(s) and end use(s) are set to 'all'. Incentive applies specifically to NYC, not the entire state of NY. The abatement is 7.5% per year for 4 years with a $62,500 annual cap; reviewer should confirm whether credit_pct should be modeled as 7.5% per year or 30% total.",reference,NYC Department of Buildings - Property Tax Abatement for Photovoltaic (PV) and Energy Storage Equipment: https://www1.nyc.gov/nycbusiness/description/solar-electric-generating-systems-tax-abatement-program,NY,all,all,all,all,electricity,,,replace,non-federal,,,,,7.5,62500,$/year,2024,2034,,
4703,New York City - Residential Solar Sales Tax Exemption,updated,,low,"Source URL is missing from input. Solar PV is outside standard Scout HVAC/envelope technologies. Incentive is a 100% local sales tax exemption, which requires translating NYC sales tax rate into an effective cost reduction or credit percentage.",reference,New York City - Residential Solar Sales Tax Exemption,NY,all residential,all,all,PV,electricity,,,,non-federal,,,,,,,,2005,,,
22411,PSEG Long Island - EV Make Ready Program,expired+updated,https://www.psegliny.com/saveenergyandmoney/GreenEnergy/EV/CommercialCustomers/MakeReady,low,"EV charging is outside Scout's primary building end uses and technologies. Additionally, incentive coverage spans 50-100% with varying caps per port ($3,000-$6,500 for Level 2 and $20,000-$65,000 for DCFC) depending on community status and plug accessibility. Reviewer should confirm if EV infrastructure should be modeled in Scout and if separate rows are needed per tier/charger level.",reference,PSEG Long Island - EV Make Ready Program: https://www.psegliny.com/saveenergyandmoney/GreenEnergy/EV/CommercialCustomers/MakeReady,NY,"commercial, multi-family residential",all,other,EV charger,electricity,,,,non-federal,,,,,,,,,,,
4874,Residential Wood Heating Fuel Exemption,updated,https://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/residential_energy.htm,low,"This incentive is a sales tax exemption on heating fuels (4% state sales tax) rather than an equipment rebate/tax credit. Techs mapped to 'all' and fuels to 'all' (covers wood, natural gas, propane, electricity, steam, fuel oil, and coal). Credit pct set to 4% (state tax rate), though local sales tax exemptions vary from 1.5% to >4%. Start and end years are not provided in source text.",reference,Residential Wood Heating Fuel Exemption (New York State Department of Taxation and Finance): https://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/residential_energy.htm,NY,all residential,all,heating,all,all,all,,,non-federal,,,,,4,,,,,,
1234,Solar Sales Tax Exemption,updated,https://www.tax.ny.gov/pubs_and_bulls/publications/sales/st_pubs_and_bulls_by_number.htm,low,"The incentive is a 100% exemption from NY state sales tax (and optional local sales tax), which requires converting state sales tax rates (~4%) to an effective credit percentage or rebate amount against equipment cost. Specific equipment efficiency criteria are not specified. Mapping solar PV, solar thermal, and energy storage to specific Scout technology categories needs determination.",reference,NY State Solar Sales Tax Exemption: https://www.tax.ny.gov/pubs_and_bulls/publications/sales/st_pubs_and_bulls_by_number.htm,NY,all,all,all,all,all,,,,non-federal,,,,,,,,2005,,,
3259,Hamilton County - Home Improvement Program,updated,https://www.hamiltoncountyohio.gov/community/home_improvement_program_hip.php#collapselinks-472-21b10,low,"This program is a low-interest loan (3% below market interest rate for up to $50,000 over 5 years) rather than a direct rebate or tax credit. No specific equipment performance thresholds or fixed rebate values are defined.",reference,Hamilton County Department of Planning and Development Home Improvement Program (HIP): https://www.hamiltoncountyohio.gov/community/home_improvement_program_hip.php#collapselinks-472-21b10,OH,"residential, commercial",all,all,all,all,all,,,non-federal,,,,,,,,2008,,,
2008,Edmond Electric - Energy Efficiency Rebate Programs,updated,https://www.edmondok.gov/1290/Rebates-Programs,low,"Rebate amounts range from $75/ton to $800/ton depending on heat pump type (ASHP, GSHP, mini-split, dual fuel) and efficiency tier. Specific rebate amounts, start/end years, and performance thresholds (SEER2/HSPF2/COP) must be confirmed from the source link https://www.edmondok.gov/1292/Heat-Pump-Rebates before finalizing.",reference,Edmond Electric Energy Efficiency Rebate Programs: https://www.edmondok.gov/1290/Rebates-Programs,OK,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,,$/ton,,,,
1230,Energy Efficient Residential Construction Tax Credit (Personal),updated,,low,"Source URL missing in input data. Program targets homebuilders/contractors for new construction under 2,000 sq ft. Tiered incentive structure ($2,000 for 20-39% above IECC 2003; $4,000 for 40%+ above IECC 2003). Reviewer should verify whether builder credits fit Scout adoption modeling.",reference,Energy Efficient Residential Construction Tax Credit (Personal) - Oklahoma Tax Commission,OK,all residential,new,all,all,all,all,,replace,non-federal,,,20,% above IECC 2003,,4000,$/home,2006,,,
3639,OG&E - Commercial Energy Efficiency Rebate Programs,updated,https://www.oge.com/wps/portal/ord/energy-solutions/efficiency-programs/commercial-industrial-energy-efficiency/!ut/p/z1/lZHLDoIwEEU_qUNbSruEVFvEpKAI2I1hRUgUXRi_XwwJCS_F2TVzz5zMFFlUINuUr7oqn_W9Ka_t-2zZBYNWWnDsxCmXwIQ-iiighGuC8i6gJdM7BUYlkQsJgY2fUUoACLJreF,low,"Specific rebate amounts per equipment type (max amounts of 50, 200, 350, 500, 3000 are listed in raw data but unmapped), rebate units, efficiency performance criteria, and active start/end years are not detailed in the summary and require review of OG&E rebate application guidelines.",reference,OG&E Commercial Energy Efficiency Rebate Programs: https://www.oge.com/wps/portal/ord/energy-solutions/efficiency-programs/commercial-industrial-energy-efficiency/!ut/p/z1/lZHLDoIwEEU_qUNbSruEVFvEpKAI2I1hRUgUXRi_XwwJCS_F2TVzz5zMFFlUINuUr7oqn_W9Ka_t-2zZBYNWWnDsxCmXwIQ-iiighGuC8i6gJdM7BUYlkQsJgY2fUUoACLJreF,OK,all commercial,all,cooling,central AC,electricity,,,replace,non-federal,,,,,,,,,,,
3590,Oklahoma Electric Cooperative - Energy Efficiency Rebate Program,updated,https://okcoop.org/energy-efficiency-rebates/,low,"DSIRE summary provides multiple rebate amounts ($750/ton, $1000, $300, $50) and several technologies (ASHP, GSHP, water heating, thermostats) without linking specific amounts to individual technologies or listing performance thresholds. Reviewer should verify rebate tier details from the linked 2025 proposal PDF before finalizing.",reference,Oklahoma Electric Cooperative - Energy Efficiency Rebate Program: https://okcoop.org/energy-efficiency-rebates/,OK,residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,750,$/ton,2025,2025,,
4525,Oklahoma Municipal Power Authority - WISE Energy Efficiency Rebate Program,updated,https://www.ompa.com/services/rebate-programs/,low,"This row captures the $500 Heat Pump Water Heater fuel-switching rebate (switching from gas). Additional rows should be drafted for other offered measures (ASHP, GSHP, ceiling insulation, air sealing, standard electric WH). Specific performance requirements (e.g. UEF thresholds) and program start/end years are not explicitly listed in the text and need verification.",reference,Oklahoma Municipal Power Authority - WISE Energy Efficiency Rebate Program: https://www.ompa.com/services/rebate-programs/,OK,all residential,all,water heating,electric WH,electricity,natural gas,,replace,non-federal,,,,,,500,$/unit,,,,
2158,EWEB - Residential Energy Efficiency Loan Programs,updated,http://www.eweb.org/residential-customers/rebates-loans-and-conservation,low,"This program provides 0% interest loans (up to $15,000 for ducted heat pumps, $2,500 for HPWH) rather than direct cash rebates or tax credits. Analyst must determine if loan financing is modeled in incentives.csv, quantify the benefit of 0% interest, and verify start/end dates and efficiency thresholds.",reference,EWEB Residential Energy Efficiency Loan Programs: http://www.eweb.org/residential-customers/rebates-loans-and-conservation,OR,all residential,all,heating,ASHP,electricity,electricity,,replace,non-federal,,,,,,,,,,,
2157,EWEB - Residential Energy Efficiency Rebate Programs,updated,http://www.eweb.org/residential-customers/rebates-loans-and-conservation,medium,"This program summary covers multiple technologies (HPWH, ducted/ductless heat pumps, insulation, windows). This draft row reflects the standard Heat Pump Water Heater rebate ($900). Additional rows should be drafted for ASHP ($1000 ducted, $800 ductless), windows ($4/sq ft), and insulation ($1/sq ft). Specific equipment efficiency thresholds (UEF, COP, R-value) and program start/end dates are not provided in the summary and need confirmation from EWEB.",reference,EWEB - Residential Energy Efficiency Rebate Programs: http://www.eweb.org/residential-customers/rebates-loans-and-conservation,OR,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,900,$/unit,,,,
1232,Emerald PUD - Residential Energy Efficiency Loan Programs,updated,https://epud.upgrade.guide/recommendations/255b793d-9314-417d-aadd-c13be7448a42/?embed#,low,"This program is a 0% interest loan (up to $5,000 max) rather than a direct rebate/credit. Max loan amount varies by technology, but specific per-tech dollar limits and performance standards are not provided in the source text. Confirm how loan incentives should be modeled in Scout and split tech coverage across wall/roof/windows.",reference,Emerald PUD Residential Energy Efficiency Loan Program: https://epud.upgrade.guide/recommendations/255b793d-9314-417d-aadd-c13be7448a42/?embed#,OR,all residential,all,heating,wall,all,all,,replace,non-federal,,,,,,,,,,,
2132,Emerald PUD - Residential Energy Efficiency Rebate Program,updated,https://www.epud.org/conservation-energy-savings/residential-programs/,medium,"Program details do not specify explicit start or end years. HPWH eligibility specifies ENERGY STAR rated, replacement of electric storage water heater, and minimum 50 gallon capacity, but no explicit numeric UEF performance level is provided. This program record also covers heat pumps, insulation, windows, doors, and appliances, which should be split into separate candidate rows.",reference,Emerald PUD - Residential Energy Efficiency Rebate Program: https://www.epud.org/conservation-energy-savings/residential-programs/,OR,all residential,all,water heating,electric WH,electricity,electricity,,replace,non-federal,,,,,,900,$/unit,,,,
5416,Local Option - Rural Renewable Energy Development Zones,updated,https://www.oregon.gov/biz/programs/RuralRenewableEnergyDevelopment%28RRED%29Zone/Pages/default.aspx,low,"This is a 3-5 year local property tax exemption for commercial renewable energy projects (solar, wind, geothermal, biomass, biofuels) in designated rural zones, not a direct equipment rebate or income tax credit. Specific rebate amounts ($/unit) and performance efficiency thresholds are not specified in the DSIRE record and cannot be quantified in standard Scout incentive metrics without local tax rate and assessment modeling.",reference,Local Option - Rural Renewable Energy Development Zones: https://www.oregon.gov/biz/programs/RuralRenewableEnergyDevelopment%28RRED%29Zone/Pages/default.aspx,OR,commercial,all,all,all,all,,,,non-federal,,,,,,,,,,,
3963,McMinnville Water and Light - Residential Energy Efficiency Rebate Program,updated,https://www.mc-power.com/energy-efficiency/energy-efficiency-rebates-incentives/,low,"The DSIRE record covers multiple measure types (ASHP $750-$900, HPWH $525-$675, Ductless Heat Pump $600, insulation, windows). Drafted row focuses on ASHP using the minimum dollar amount ($750). Missing numeric equipment performance thresholds (SEER2/HSPF2/COP), program start/end years, and target market fraction.",reference,McMinnville Water & Light Residential Energy Efficiency Rebate Program: https://www.mc-power.com/energy-efficiency/energy-efficiency-rebates-incentives/,OR,all residential,all,heating,ASHP,electricity,,,replace,non-federal,,,,,,750,$/unit,,,,
